iter	Passed	Remaining
0	0	69
1	1	63
2	1	62
3	2	62
4	3	69
5	4	71
6	5	75
7	6	78
8	7	80
9	8	79
10	9	79
11	10	78
12	11	77
13	12	76
14	13	77
15	14	76
16	15	75
17	16	74
18	17	74
19	18	73
20	19	73
21	20	73
22	22	73
23	23	72
24	23	71
25	24	70
26	26	70
27	26	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	60
36	35	59
37	36	59
38	37	58
39	38	57
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	48	46
51	49	45
52	50	44
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	12
86	80	12
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
